print_id,source_file,printer_id,started_at,outcome,failure_type,failure_at_frame,duration_seconds
print_0032,raw/successful/Tolstoy/Body4_0.4n_0.2mm_PLA_COREONE_2h14m_20251027142114.mp4,Tolstoy,,success,,,15
print_0033,raw/successful/Tolstoy/Bottle Fairing v2_0.4n_0.2mm_PLA_COREONE_2h12m_20251106134757.mp4,Tolstoy,,success,,,20
print_0034,raw/successful/Tolstoy/Bottom 1 v2_0.4n_0.1mm_PLA_COREONE_5h33m_20251212103117.mp4,Tolstoy,,success,,,58
print_0035,raw/successful/Tolstoy/Bottom layer MEC - Simra Aza_0.4n_0.2mm_PLA_COREONE_2h8m_20260223150804.mp4,Tolstoy,,success,,,17
print_0036,raw/successful/Tolstoy/Bottom layer MEC - Simra Aza_0.4n_0.2mm_PLA_COREONE_2h8m_20260223191115.mp4,Tolstoy,,success,,,17
print_0037,raw/successful/Tolstoy/Bottom of servo cage v1_0.4n_0.2mm_PLA_COREONE_38m_20260216101426.mp4,Tolstoy,,success,,,6
print_0038,raw/successful/Tolstoy/Bracket_24_3-sides_flat_0.4n_0.25mm_PLA_COREONE_5h53m_20260327173914.mp4,Tolstoy,,success,,,69
print_0039,raw/successful/Tolstoy/Bronto_0.4n_0.28mm_PLA_COREONE_41m_20251211170537.mp4,Tolstoy,,success,,,7
print_0040,raw/successful/Tolstoy/C1 compass base_0.4n_0.2mm_PLA_COREONE_26m_20251117183613.mp4,Tolstoy,,success,,,3
print_0041,raw/successful/Tolstoy/CASE MODEL Hearing AID_0.4n_0.2mm_PLA_COREONE_5m_20251028134330.mp4,Tolstoy,,success,,,0
print_0042,raw/successful/Tolstoy/Cable Winder_0.4n_0.2mm_PLA_COREONE_54m_20251127155226.mp4,Tolstoy,,success,,,5
print_0043,raw/successful/Tolstoy/Calculator Back v4_0.4n_0.2mm_PLA_COREONE_36m_20251017140742.mp4,Tolstoy,,success,,,4
print_0044,raw/successful/Tolstoy/Calculator Back v5_0.4n_0.1mm_PLA_COREONE_1h36m_20251017163514.mp4,Tolstoy,,success,,,13
print_0045,raw/successful/Tolstoy/Camphill2_OR1_0.4n_0.2mm_PLA_COREONE_4h4m_20251127195612.mp4,Tolstoy,,success,,,30
print_0046,raw/successful/Tolstoy/Carrier Stand_0.4n_0.1mm_PLA_COREONE_2h34m_20260420120757.mp4,Tolstoy,,success,,,9
print_0047,raw/successful/Tolstoy/Cement Holder Single_0.4n_0.2mm_PLA_COREONE_3h43m_20260420165002.mp4,Tolstoy,,success,,,32
print_0048,raw/successful/Tolstoy/Centre Interface_0.4n_0.2mm_PLA_COREONE_19m_20260428121412.mp4,Tolstoy,,success,,,3
print_0049,raw/successful/Tolstoy/Corner Bracket X4_0.4n_0.25mm_PLA_COREONE_4h19m_20260507124611.mp4,Tolstoy,,success,,,26
print_0050,raw/successful/Tolstoy/Cupholder Joined and Phoneholder_0.4n_0.28mm_PLA_COREONE_6h52m_20251110124501.mp4,Tolstoy,,success,,,49
print_0051,raw/successful/Tolstoy/DDK2OuterMouth_0.4n_0.1mm_PLA_COREONE_19h16m_20260328160055.mp4,Tolstoy,,success,,,158
print_0052,raw/successful/Tolstoy/Elbow_forearm_0.4n_0.2mm_PLA_COREONE_3h2m_20260224152631.mp4,Tolstoy,,success,,,26
print_0053,raw/successful/Tolstoy/Elise Cupholder Top_0.4n_0.28mm_PLA_COREONE_5h10m_20251023122739.mp4,Tolstoy,,success,,,31
print_0054,raw/successful/Tolstoy/Eng_0.4n_0.2mm_PLA_COREONE_6h16m_20251203180803.mp4,Tolstoy,,success,,,68
print_0055,raw/successful/Tolstoy/Filament+Swatch+Sample+Card_0.4n_0.2mm_PLA_COREONE_23m_20260221185954.mp4,Tolstoy,,success,,,3
print_0056,raw/successful/Tolstoy/Filament+Swatch+Sample+Card_0.4n_0.2mm_PLA_COREONE_23m_20260221200922.mp4,Tolstoy,,success,,,3
print_0057,raw/successful/Tolstoy/Final Flange Block_0.4n_0.25mm_PLA_COREONE_3h11m_20260505160045.mp4,Tolstoy,,success,,,23
print_0058,raw/successful/Tolstoy/Finger__hand_0.4n_0.1mm_PLA_COREONE_2h25m_20251113132715.mp4,Tolstoy,,success,,,26
print_0059,raw/successful/Tolstoy/First mount protoype v1_0.4n_0.2mm_PLA_COREONE_5h58m_20251029120315.mp4,Tolstoy,,success,,,57
print_0060,raw/successful/Tolstoy/Foldable laptop stand bambu version_0.4n_0.2mm_PLA_COREONE_4h12m_20251030125335.mp4,Tolstoy,,success,,,39
print_0061,raw/successful/Tolstoy/Foldable laptop stand bambu version_0.4n_0.2mm_PLA_COREONE_4h12m_20251030182954.mp4,Tolstoy,,success,,,41
print_0062,raw/successful/Tolstoy/Hackcessibl laptop mount stand_0.4n_0.28mm_PLA_COREONE_2h2m_20251119172837.mp4,Tolstoy,,success,,,17
print_0063,raw/successful/Tolstoy/Hackcessibl laptop mount v1_0.4n_0.2mm_PLA_COREONE_30m_20251027165659.mp4,Tolstoy,,success,,,5
print_0064,raw/successful/Tolstoy/Hook_3mm_Rounded_0.4n_0.25mm_PLA_COREONE_6h13m_20260131162321.mp4,Tolstoy,,success,,,76
print_0065,raw/successful/Tolstoy/IBox_01R_0.4n_0.2mm_PLA_COREONE_3h22m_20251031155002.mp4,Tolstoy,,success,,,35
print_0066,raw/successful/Tolstoy/IBox_06L_0.4n_0.2mm_PLA_COREONE_3h43m_20251114160843.mp4,Tolstoy,,success,,,38
print_0067,raw/successful/Tolstoy/Jewelry_Holder_branch_short_0.4n_0.28mm_PLA_COREONE_33m_20251211161820.mp4,Tolstoy,,success,,,3
print_0068,raw/successful/Tolstoy/JugglingTube_0.4n_0.28mm_PLA_COREONE_5h58m_20251208143833.mp4,Tolstoy,,success,,,60
print_0069,raw/successful/Tolstoy/KT_Crate_2_0.4n_0.25mm_PLA_COREONE_2h47m_20260327121558.mp4,Tolstoy,,success,,,9
print_0070,raw/successful/Tolstoy/L_R_I_0.4n_0.2mm_PLA_COREONE_4h45m_20260219122407.mp4,Tolstoy,,success,,,28
print_0071,raw/successful/Tolstoy/Large_Arm_0.4n_0.2mm_PLA_COREONE_50m_20260216122609.mp4,Tolstoy,,success,,,6
print_0072,raw/successful/Tolstoy/Left face_0.4n_0.2mm_PLA_COREONE_1h6m_20260422134844.mp4,Tolstoy,,success,,,3
print_0073,raw/successful/Tolstoy/Level 2 v1_0.4n_0.2mm_PLA_COREONE_3h29m_20260219201905.mp4,Tolstoy,,success,,,29
print_0074,raw/successful/Tolstoy/Lock Design 1.2.1.3dprinting_0.4n_0.2mm_PLA_COREONE_4h15m_20251124122235.mp4,Tolstoy,,success,,,26
print_0075,raw/successful/Tolstoy/MAINBODY_LID_0.4n_0.2mm_PLA_COREONE_3h10m_20260323183752.mp4,Tolstoy,,success,,,12
print_0076,raw/successful/Tolstoy/Macrotextured_0.4n_0.2mm_PLA_COREONE_38m_20251204172622.mp4,Tolstoy,,success,,,6
print_0077,raw/successful/Tolstoy/Mega Male v19_0.4n_0.2mm_PLA_COREONE_6h40m_20251016185119.mp4,Tolstoy,,success,,,49
print_0078,raw/successful/Tolstoy/Middle Section v20_0.4n_0.25mm_PLA_COREONE_4h41m_20260427190529.mp4,Tolstoy,,success,,,40
print_0079,raw/successful/Tolstoy/Missing piece_0.4n_0.25mm_PLA_COREONE_1h33m_20260430121828.mp4,Tolstoy,,success,,,14
print_0080,raw/successful/Tolstoy/Motor controller lid_0.4n_0.2mm_PLA_COREONE_1h30m_20260429174334.mp4,Tolstoy,,success,,,3
print_0081,raw/successful/Tolstoy/Motor mount 3_0.4n_0.28mm_PLA_COREONE_10m_20251125142457.mp4,Tolstoy,,success,,,2
print_0082,raw/successful/Tolstoy/Mount_print_(scaled down)_0.4n_0.2mm_PLA_COREONE_2h41m_20260220120054.mp4,Tolstoy,,success,,,23
print_0083,raw/successful/Tolstoy/NEW Cutlery Module_0.4n_0.28mm_PLA_COREONE_3h49m_20251202113121.mp4,Tolstoy,,success,,,10
print_0084,raw/successful/Tolstoy/Nautilus_Gears_Plate_0.4n_0.2mm_PLA_COREONE_47m_20251106173503.mp4,Tolstoy,,success,,,7
print_0085,raw/successful/Tolstoy/Nose Cone (1)_0.4n_0.2mm_PLA_COREONE_3h2m_20260324140608.mp4,Tolstoy,,success,,,28
print_0086,raw/successful/Tolstoy/Nose cone_0.4n_0.2mm_PLA_COREONE_6h50m_20260505193259.mp4,Tolstoy,,success,,,67
print_0087,raw/successful/Tolstoy/Nozzle replacement tool - CORE One no sock (1)_0.4n_0.2mm_PLA_COREONE_51m_20251020163127.mp4,Tolstoy,,success,,,7
print_0088,raw/successful/Tolstoy/OrthoArtic Hip implant v3_0.4n_0.25mm_PLA_COREONE_6m_20251128185908.mp4,Tolstoy,,success,,,1
print_0089,raw/successful/Tolstoy/PEREGRINE FALCON V1.1_0.4n_0.2mm_PLA_COREONE_34m_20260427120342.mp4,Tolstoy,,success,,,3
print_0090,raw/successful/Tolstoy/Pole_0.4n_0.2mm_PLA_COREONE_1h43m_20260424120012.mp4,Tolstoy,,success,,,15
print_0091,raw/successful/Tolstoy/Pom Player_0.4n_0.25mm_PLA_COREONE_1h48m_20260508132002.mp4,Tolstoy,,success,,,8
print_0092,raw/successful/Tolstoy/RW_SE_Bodge_1 (1)_0.4n_0.28mm_PLA_COREONE_2h0m_20260401123920.mp4,Tolstoy,,success,,,16
print_0093,raw/successful/Tolstoy/Rideshare Payload Updated hehe_0.4n_0.25mm_PLA_COREONE_1h59m_20260218122457.mp4,Tolstoy,,success,,,17
print_0094,raw/successful/Tolstoy/Right face_0.4n_0.2mm_PLA_COREONE_59m_20260422150525.mp4,Tolstoy,,success,,,2
print_0095,raw/successful/Tolstoy/Rocky Limbs_0.4n_0.2mm_PLA_COREONE_6h19m_20260504122724.mp4,Tolstoy,,success,,,115
print_0096,raw/successful/Tolstoy/Roof of small greenhouse_0.4n_0.15mm_PLA_COREONE_6h27m_20260415134835.mp4,Tolstoy,,success,,,65
print_0097,raw/successful/Tolstoy/Rudder_extra_0.4n_0.2mm_PLA_COREONE_41m_20260505124621.mp4,Tolstoy,,success,,,6
print_0098,raw/successful/Tolstoy/Ruin2_Floor1_0.4n_0.2mm_PLA_COREONE_5h45m_20260501115908.mp4,Tolstoy,,success,,,48
print_0099,raw/successful/Tolstoy/SHELL_0.4n_0.2mm_PLA_COREONE_2h56m_20260326170832.mp4,Tolstoy,,success,,,22
print_0100,raw/successful/Tolstoy/SIS bottle 800mm base drawing_0.4n_0.28mm_PLA_COREONE_4h22m_20251127101611.mp4,Tolstoy,,success,,,43
print_0101,raw/successful/Tolstoy/SPROCKET V1_0.4n_0.25mm_PLA_COREONE_1h11m_20251017121756.mp4,Tolstoy,,success,,,11
print_0102,raw/successful/Tolstoy/SW_INT_JIG1_0.4n_0.28mm_PLA_COREONE_3h0m_20260401151643.mp4,Tolstoy,,success,,,26
print_0103,raw/successful/Tolstoy/Screw thing_0.4n_0.25mm_PLA_COREONE_1h12m_20260506175811.mp4,Tolstoy,,success,,,12
print_0104,raw/successful/Tolstoy/Servo Connector v4.38_0.4n_0.2mm_PLA_COREONE_1h49m_20260427125420.mp4,Tolstoy,,success,,,16
print_0105,raw/successful/Tolstoy/Socket frame_0.4n_0.25mm_PLA_COREONE_1h3m_20260428133010.mp4,Tolstoy,,success,,,5
print_0106,raw/successful/Tolstoy/Speed_coach_mount2_0.4n_0.28mm_PLA_COREONE_58m_20251126133252.mp4,Tolstoy,,success,,,11
print_0107,raw/successful/Tolstoy/Spice holder joined__0.4n_0.2mm_PLA_COREONE_1h30m_20251020141036.mp4,Tolstoy,,success,,,7
print_0108,raw/successful/Tolstoy/Spiral v39-printable_0.4n_0.2mm_PLA_COREONE_1h19m_20251114125339.mp4,Tolstoy,,success,,,6
print_0109,raw/successful/Tolstoy/Stamp arcadia_0.4n_0.22mm_PLA_COREONE_26m_20260303133720.mp4,Tolstoy,,success,,,4
print_0110,raw/successful/Tolstoy/TEST Avionics Bay - With a lil bit more room to test_0.4n_0.2mm_PLA_COREONE_3h4m_20260326130233.mp4,Tolstoy,,success,,,27
print_0111,raw/successful/Tolstoy/Tablet Case v2_0.4n_0.2mm_PLA_COREONE_2h38m_20251130171818.mp4,Tolstoy,,success,,,16
print_0112,raw/successful/Tolstoy/Test_0.4n_0.2mm_PLA_COREONE_4m_20251129164302.mp4,Tolstoy,,success,,,1
print_0113,raw/successful/Tolstoy/Texan ii Print middle fuselage_0.4n_0.2mm_PLA_COREONE_9h0m_20260226171938.mp4,Tolstoy,,success,,,112
print_0114,raw/successful/Tolstoy/Topper - Flat Bow_0.4n_0.2mm_PLA_COREONE_33m_20260224131259.mp4,Tolstoy,,success,,,5
print_0115,raw/successful/Tolstoy/TriangleSoCWConnector_0.4n_0.1mm_PLA_COREONE_4h17m_20251121174752.mp4,Tolstoy,,success,,,42
print_0116,raw/successful/Tolstoy/Upper v1_0.4n_0.2mm_PLA_COREONE_3h17m_20251205150320.mp4,Tolstoy,,success,,,27
print_0117,raw/successful/Tolstoy/V3 -thin_0.4n_0.2mm_PLA_COREONE_24m_20260220150029.mp4,Tolstoy,,success,,,4
print_0118,raw/successful/Tolstoy/Version 3 Winder CASING EXTRA high_0.4n_0.2mm_PLA_COREONE_1h20m_20260227123415.mp4,Tolstoy,,success,,,11
print_0119,raw/successful/Tolstoy/WonderWomanSTL_1_0.4n_0.2mm_PLA_COREONE_4h23m_20251028150549.mp4,Tolstoy,,success,,,46
print_0120,raw/successful/Tolstoy/angular_0.4n_0.2mm_PLA_COREONE_1h51m_20260227160356.mp4,Tolstoy,,success,,,17
print_0121,raw/successful/Tolstoy/ankle brace (1)_0.4n_0.2mm_PLA_COREONE_33m_20251129145344.mp4,Tolstoy,,success,,,4
print_0122,raw/successful/Tolstoy/ankle brace (final)_0.4n_0.25mm_PLA_COREONE_5h42m_20251129180154.mp4,Tolstoy,,success,,,21
print_0123,raw/successful/Tolstoy/arm clamps bottom_0.4n_0.2mm_PLA_COREONE_1h36m_20251126193438.mp4,Tolstoy,,success,,,15
print_0124,raw/successful/Tolstoy/arms basic_0.4n_0.2mm_PLA_COREONE_2h0m_20251103161338.mp4,Tolstoy,,success,,,18
print_0125,raw/successful/Tolstoy/bars end_0.4n_0.2mm_PLA_COREONE_3h0m_20251117195327.mp4,Tolstoy,,success,,,28
print_0126,raw/successful/Tolstoy/bars inner left_0.4n_0.2mm_PLA_COREONE_2h30m_20251120190358.mp4,Tolstoy,,success,,,20
print_0127,raw/successful/Tolstoy/base_motor_holder_so101_v1 - Copy_0.4n_0.2mm_PLA_COREONE_6h28m_20251124180905.mp4,Tolstoy,,success,,,63
print_0128,raw/successful/Tolstoy/bitong_0.4n_0.1mm_PLA_COREONE_1h54m_20251204112305.mp4,Tolstoy,,success,,,15
print_0129,raw/successful/Tolstoy/board_1_0.4n_0.2mm_PLA_COREONE_2h48m_20251117141124.mp4,Tolstoy,,success,,,30
print_0130,raw/successful/Tolstoy/box-storage_0.4n_0.2mm_PLA_COREONE_1h47m_20251113180705.mp4,Tolstoy,,success,,,9
print_0131,raw/successful/Tolstoy/bulbasaur_starter_1gen_flowalistik_0.4n_0.2mm_PLA_COREONE_5h17m_20251203120535.mp4,Tolstoy,,success,,,49
print_0132,raw/successful/Tolstoy/canister_0.4n_0.2mm_PLA_COREONE_3h4m_20260323121656.mp4,Tolstoy,,success,,,35
print_0133,raw/successful/Tolstoy/clamV3_0.4n_0.1mm_PLA_COREONE_49m_20260305164102.mp4,Tolstoy,,success,,,8
print_0134,raw/successful/Tolstoy/cosmotyl-holderright_0.4n_0.25mm_PLA_COREONE_37m_20260423141356.mp4,Tolstoy,,success,,,6
print_0135,raw/successful/Tolstoy/cosmotyl-plateright_0.4n_0.25mm_PLA_COREONE_1h57m_20260423181536.mp4,Tolstoy,,success,,,6
print_0136,raw/successful/Tolstoy/cover for shell_0.4n_0.2mm_PLA_COREONE_48m_20260427180724.mp4,Tolstoy,,success,,,1
print_0137,raw/successful/Tolstoy/cube_105x105x105mm_L_0.4n_0.2mm_PLA_COREONE_3h20m_20251023175921.mp4,Tolstoy,,success,,,28
print_0138,raw/successful/Tolstoy/cupcake_kitty_0.4n_0.1mm_PLA_COREONE_1h29m_20251208120544.mp4,Tolstoy,,success,,,12
print_0139,raw/successful/Tolstoy/doorstop with no bevels_0.4n_0.2mm_PLA_COREONE_1h28m_20251106120904.mp4,Tolstoy,,success,,,13
print_0140,raw/successful/Tolstoy/eia21jll_shortened load cell adapter_0.4n_0.25mm_PLA_COREONE_4h44m_20251207124718.mp4,Tolstoy,,success,,,27
print_0141,raw/successful/Tolstoy/esp MOUNT SECURE BAR_0.4n_0.2mm_PLA_COREONE_5m_20251129173037.mp4,Tolstoy,,success,,,0
print_0142,raw/successful/Tolstoy/foot-roller-1_0.4n_0.2mm_PLA_COREONE_3h11m_20260324092227.mp4,Tolstoy,,success,,,22
print_0143,raw/successful/Tolstoy/frame-100-2x_0.4n_0.2mm_PLA_COREONE_7h6m_20260322121334.mp4,Tolstoy,,success,,,68
print_0144,raw/successful/Tolstoy/gear_0.4n_0.28mm_PLA_COREONE_31m_20260227142755.mp4,Tolstoy,,success,,,3
print_0145,raw/successful/Tolstoy/gear_0.4n_0.2mm_PLA_COREONE_53m_20260224135808.mp4,Tolstoy,,success,,,5
print_0146,raw/successful/Tolstoy/glass grind fixture_0.4n_0.28mm_PLA_COREONE_4h28m_20260309104538.mp4,Tolstoy,,success,,,0
print_0147,raw/successful/Tolstoy/gracekeychain-unsupported_0.4n_0.2mm_PLA_COREONE_1h49m_20260423160601.mp4,Tolstoy,,success,,,20
print_0148,raw/successful/Tolstoy/head_0.4n_0.1mm_PLA_COREONE_54m_20251206124939.mp4,Tolstoy,,success,,,9
print_0149,raw/successful/Tolstoy/heater holder_0.4n_0.2mm_PLA_COREONE_15m_20251024135411.mp4,Tolstoy,,success,,,2
print_0150,raw/successful/Tolstoy/heatherprint_20251107135629.mp4,Tolstoy,,success,,,20
print_0151,raw/successful/Tolstoy/hexScraper_0.4n_0.25mm_PLA_COREONE_2h55m_20260511173552.mp4,Tolstoy,,success,,,23
print_0152,raw/successful/Tolstoy/hip implant ball_0.4n_0.1mm_PLA_COREONE_17m_20251128191235.mp4,Tolstoy,,success,,,4
print_0153,raw/successful/Tolstoy/icepick scar 1_0.4n_0.25mm_PLA_COREONE_33m_20260303102834.mp4,Tolstoy,,success,,,4
print_0154,raw/successful/Tolstoy/icepick scar 3_0.4n_0.25mm_PLA_COREONE_34m_20260303111051.mp4,Tolstoy,,success,,,4
print_0155,raw/successful/Tolstoy/ifor_busicard_v5_x9_0.4n_0.2mm_PLA_COREONE_2h16m_20260306114929.mp4,Tolstoy,,success,,,6
print_0156,raw/successful/Tolstoy/ifor_busicard_v5_x9_0.4n_0.2mm_PLA_COREONE_2h16m_20260306144619.mp4,Tolstoy,,success,,,6
print_0157,raw/successful/Tolstoy/jig 1 final final_0.4n_0.2mm_PLA_COREONE_56m_20260324171931.mp4,Tolstoy,,success,,,8
print_0158,raw/successful/Tolstoy/lever_holder - lever_holder_arm-1_0.4n_0.1mm_PLA_COREONE_1h27m_20260305174501.mp4,Tolstoy,,success,,,13
print_0159,raw/successful/Tolstoy/lift_mount_0.4n_0.25mm_PLA_COREONE_1h26m_bed2_20260324182554.mp4,Tolstoy,,success,,,7
print_0160,raw/successful/Tolstoy/magnet handle_0.4n_0.25mm_PLA_COREONE_2h31m_20260424183511.mp4,Tolstoy,,success,,,24
print_0161,raw/successful/Tolstoy/mask_v3_5_wig_cap_q4_20260217142854.mp4,Tolstoy,,success,,,38
print_0162,raw/successful/Tolstoy/moai-new_0.4n_0.2mm_PLA_COREONE_59m_20251114145038.mp4,Tolstoy,,success,,,9
print_0163,raw/successful/Tolstoy/mug_holder_base_0.4n_0.25mm_PLA_COREONE_4h10m_20251119195446.mp4,Tolstoy,,success,,,22
print_0164,raw/successful/Tolstoy/nosecone_0.4n_0.2mm_PLA_COREONE_2h24m_20260323093023.mp4,Tolstoy,,success,,,20
print_0165,raw/successful/Tolstoy/ocarina_stand_0.4n_0.2mm_PLA_COREONE_2h8m_20251201154336.mp4,Tolstoy,,success,,,20
print_0166,raw/successful/Tolstoy/pf 1_0.4n_0.2mm_PLA_COREONE_6h55m_20251209122255.mp4,Tolstoy,,success,,,52
print_0167,raw/successful/Tolstoy/plate_0.4n_0.2mm_PLA_COREONE_5h4m_20260331170903.mp4,Tolstoy,,success,,,30
print_0168,raw/successful/Tolstoy/plateoxygenmanifold2_0.4n_0.1mm_PLA_COREONE_3h47m_20251210180142.mp4,Tolstoy,,success,,,39
print_0169,raw/successful/Tolstoy/printable 3d sisi_0.4n_0.2mm_PLA_COREONE_11m_20251128120106.mp4,Tolstoy,,success,,,2
print_0170,raw/successful/Tolstoy/rhis present_0.4n_0.2mm_PLA_COREONE_4h6m_20260216162423.mp4,Tolstoy,,success,,,40
print_0171,raw/successful/Tolstoy/rolling scar 1_0.4n_0.25mm_PLA_COREONE_33m_20260303115236.mp4,Tolstoy,,success,,,4
print_0172,raw/successful/Tolstoy/rolling scar 3_0.4n_0.25mm_PLA_COREONE_34m_20260303124827.mp4,Tolstoy,,success,,,5
print_0173,raw/successful/Tolstoy/statue_unsupported_0.4n_0.15mm_PLA_COREONE_3h56m_20260414132622.mp4,Tolstoy,,success,,,38
print_0174,raw/successful/Tolstoy/statue_unsupported_0.4n_0.2mm_PLA_COREONE_3h47m_20260428165539.mp4,Tolstoy,,success,,,34
print_0175,raw/successful/Tolstoy/strata (1)_0.4n_0.2mm_PLA_COREONE_2h32m_20260421131003.mp4,Tolstoy,,success,,,32
print_0176,raw/successful/Tolstoy/strata (1)_0.4n_0.2mm_PLA_COREONE_2h32m_20260421165719.mp4,Tolstoy,,success,,,67
print_0177,raw/successful/Tolstoy/theplat111_0.4n_0.25mm_PLA_COREONE_19m_20260304125820.mp4,Tolstoy,,success,,,2
print_0178,raw/successful/Tolstoy/thread test2_1_0.4n_0.2mm_PLA_COREONE_6h47m_20260512193444.mp4,Tolstoy,,success,,,62
print_0179,raw/successful/Tolstoy/tray holding piece v0_0.4n_0.25mm_PLA_COREONE_1h32m_20251105173311.mp4,Tolstoy,,success,,,14
print_0180,raw/successful/Tolstoy/voy_nova_class_science_vessel_0.4n_0.1mm_PLA_COREONE_1h52m_20251211134650.mp4,Tolstoy,,success,,,16
print_0181,raw/successful/Tolstoy/wie5flower jewellery pot-dorota itoya_0.4n_0.28mm_PLA_COREONE_2h58m_20260304160706.mp4,Tolstoy,,success,,,16
print_0182,raw/successful/Tolstoy/x-carriage interface_0.4n_0.2mm_PLA_COREONE_1h40m_20251127174842.mp4,Tolstoy,,success,,,11
print_0183,raw/successful/Tolstoy/yarnholderbttmproto_1_0.4n_0.2mm_PLA_COREONE_56m_20260428152354.mp4,Tolstoy,,success,,,8
